,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
37,"Hasegawa, M; Ligon, RA; Giraudeau, M; Watanabe, M; McGraw, KJ",2014,Hasegawa et al. 2014,,Haemorhous mexicanus,vertebrate,drab,,colorful,body,carotenoid,N/A,mature,males,captivity,breeding,No,score,4,t,-0.98,3,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6171866,0.556363506,0.720447794,1,1
38,"McGraw, KJ; Medina-Jerez, W; Adams, H",2007,McGraw et al. 2007,,Haemorhous mexicanus,vertebrate,light red,,bright red,ventral,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,encounters won,16,t,-1.72,15,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508691599,0.230098249,0.560963012,0.277350098,3.605551275
39,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 4,,Serinus serinus,vertebrate,less yellow,,more yellow,head,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,9.977,1,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369833562,0.182211113,0.388230276,0.2,5
40,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 3,,Serinus serinus,vertebrate,less yellow,,more yellow,chest,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.82,1,17,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046015713,0.195908392,0.046048233,0.2,5
41,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 2,,Serinus serinus,vertebrate,less yellow,,more yellow,throat,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.793,1,17,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044568089,0.195921264,0.044597633,0.2,5
42,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 1,,Serinus serinus,vertebrate,less yellow,,more yellow,belly,carotenoid,N/A,mature,males,captivity,non-breeding,Plastic,score (attacks + displays),28,F,0.001,1,17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88E-05,0.196116135,5.88E-05,0.2,5
43,"McGraw, KJ; Dale, J; Mackillop, EA",2003,McGraw et al. 2003,,Passer domesticus,vertebrate,small size,,large size,body,melanocortin,eumelanin,mature,males,captivity,non-breeding,Plastic,rankinteraction rate,42,F,4.05,1,42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087947883,0.157501204,0.088175695,0.160128154,6.244997998
44,"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008,,Calamospiza melanocorys,vertebrate,light,,dark,wings,melanocortin,eumelanin,mature,males,field,breeding,No,territorial,369,t,2.84,368,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183546655,0.051312756,0.185650539,0.052270837,19.13112647
45,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 2,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,full songs,41,t,1.09,40,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212863186,0.156458339,0.216168518,0.162221421,6.164414003
46,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 1,,Zonotrichia albicollis,vertebrate,white,,tan,head,melanocortin,pheomelanin,mature,males,field,year round,No,pinked,41,t,0.28,40,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055432285,0.159881949,0.055489166,0.162221421,6.164414003
