Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 2,Serinus serinus,vertebrate,less yellow,,more yellow,chest,carotenoid,,mature,males,captivity,non-breeding,,score (attacks + displays),28,F,0.82,1,17,0.379,,,,,,,,,,,
"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 3,Serinus serinus,vertebrate,less yellow,,more yellow,throat,carotenoid,,mature,males,captivity,non-breeding,,score (attacks + displays),28,F,0.793,1,17,0.385,,,,,,,,,,,
"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 4,Serinus serinus,vertebrate,less yellow,,more yellow,belly,carotenoid,,mature,males,captivity,non-breeding,,score (attacks + displays),28,F,0.001,1,17,0.99,,,,,,,,,,,
"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 1,Malurus amabilis,vertebrate,less blue,,more blue,cheek,unknown,,mature,both,captivity,year round,,score (attacks + displays),64,t,-2.76,35.6,,0.01,,,,,,,,,,,
"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 2,Malurus amabilis,vertebrate,grey,,blue,cheek,unknown,,mature,both,captivity,year round,,score,64,t,0.34,59.91,,0.93,,,,,,,,,,,
"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 3,Malurus amabilis,vertebrate,blender,,blue,cheek,unknown,,mature,both,captivity,year round,,score,64,t,-2.47,59.62,,0.04,,,,,,,,,,,
"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 4,Malurus amabilis,vertebrate,blender,,grey,cheek,unknown,,mature,both,captivity,year round,,score,64,t,-2.29,60,,0.06,,,,,,,,,,,
"Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,Mafli et al 2011,Eurotestudo boettgeri,vertebrate,light,,dark,shell,melanocortin,,mature,males,captivity,year round,,index,23,r,,,,0.0001,0.69,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 1,Poecilia reticulata,vertebrate,light,intermediate,dark,eyes,none,,juvenile,both,captivity,changing,,aggressive encounters,74,F,3.8,2,17,0.005,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 2,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,mutual display,33,X2,21.3,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 3,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,display,12,X2,21.3,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 4,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,chase,61,X2,21.3,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 5,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,nip,64,X2,21.3,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 6,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,mutual display,27,X2,18.18,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 7,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,display,11,X2,18.18,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 8,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,chase,16,X2,18.18,6,,0.01,,,,,,,,,,,
"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 9,Poecilia reticulata,vertebrate,light,,dark,eyes,none,,juvenile,both,captivity,changing,,nip,11,X2,18.18,6,,0.01,,,,,,,,,,,
"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 1,Manacus candei,vertebrate,white,,golden,collar and belly,carotenoid,,mature,males,field,breeding,,attack,34,mean,,,,,,17,5.9,,,16.6,17,23.5,,,31.2
"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 2,Manacus vitellinus,vertebrate,white,lemon,,collar and belly,carotenoid,,mature,males,field,breeding,,attack,34,mean,,,,,,17,5.9,,,16.6,17,26.5,,,35.9
"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 3,Manacus vitellinus,vertebrate,,lemon,golden,collar and belly,carotenoid,,mature,males,field,breeding,,calls,34,mean,,,,,,17,383.1,,,151.5,17,195.9,,,80.2
"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 4,Manacus vitellinus,vertebrate,white,lemon,,collar and belly,carotenoid,,mature,males,field,breeding,,calls,34,mean,,,,,,17,199.8,,,111.2,17,383.1,,,151.5
