,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
36,"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,"Gouldian Fund Research Facility, Martinsville, Australia",vertebrate,red,,black,face,melanocortin,eumelanin,dummy used,Exp,Covariate,Weight and length,juvenile,females,lab,year round,Plastic,Indirect,score,76,F,14.32,1,75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al 2012,Erythrura gouldiae,Local Suppliers,vertebrate,red,,black,head,melanocortin,eumelanin,new individuals,Obs,Size matched,Length,mature,both,captivity,year round,Plastic,Indirect,score,40,mean,NA,NA,NA,,NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182
38,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,"Mondi Mountain Home Estate in eastern KwaZulu-Natal, South Africa",vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,NS,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,"Mondi Mountain Home Estate in eastern KwaZulu-Natal, South Africa",vertebrate,small yellow,average orange,large red,collar hue,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,0.001,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,"Mondi Mountain Home Estate in eastern KwaZulu-Natal, South Africa",vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,NS,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,"Mondi Mountain Home Estate in eastern KwaZulu-Natal, South Africa",vertebrate,small yellow,average orange,large red,collar area,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,43,r,NA,NA,NA,0.001,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Dale, S; Slagsvold, T",1996,Dale and Slagsvold 1996,Ficedula hypoleuca,"Oslo, Norway",vertebrate,dull,,bright,body,melanocortin,eumelanin,uncontrolled,Exp,uncontrolled,None measured,mature,both,field,breeding,Plastic,Direct,response time,15,t,2.61,14,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 1,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Indirect,score,36,r,NA,NA,NA,0.1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 2,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Indirect,score,31,r,NA,NA,NA,0.1,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 3,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Indirect,distance,41,r,NA,NA,NA,0.1,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 4,Ficedula hypoleuca,"Konnevesi Research Station, Jyvaskyla, Finland",vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Direct,attacks,41,r,NA,NA,NA,0.1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
