X,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
126,"Suter, HC; Huntingford, FA",2002,Suter and Huntingford 2002,Salmo salar,UK,vertebrate,pale,,dark,eyes,unknown,N/A,uncontrolled,Obs,Size matched,Weight and length,juvenile,both,lab,changing,Plastic,Direct,number of acts,7,t,-2.45,6,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886319217,0.207093335,1.404494165,0.5,2
127,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 1,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,chemosensory,30,t,2.08,14,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608954288,0.149901715,0.707257636,0.19245009,5.196152423
128,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 2,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,reposition,30,t,3.221,14,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817673208,0.108793797,1.149755933,0.19245009,5.196152423
129,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 3,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,head-bob bouts,30,t,2.5,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696285632,0.135644799,0.860054268,0.19245009,5.196152423
130,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 4,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,fullshow bouts,30,t,2.42,14,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680651879,0.13844971,0.830327613,0.19245009,5.196152423
131,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 5,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,charge,30,t,2.213,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638029385,0.145518593,0.754843084,0.19245009,5.196152423
132,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 6,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,biting,30,t,2.04,14,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59994723,0.151193268,0.693064732,0.19245009,5.196152423
133,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 7,Sceloporus occidentalis,USA,vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,rate of move toward,30,t,0.42,14,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139806141,0.187126222,0.140727847,0.19245009,5.196152423
134,"Seddon, RJ; Hews, DK",2017,Seddon and Hews 2017,Sceloporus occidentalis,USA,vertebrate,white,,black,chest,melanocortin,eumelanin,new individuals,Exp,Size matched,Length,mature,males,field,year round,No,Indirect,physical contact/retreat (PC),78,F,22.42,1,57,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282296651,0.110042372,0.290175843,0.115470054,8.660254038
135,"Robertson, JM; Rosenblum, EB",2010,Robertson and Rosenblum 2010,Sceloporus undulatus,USA,vertebrate,light,,dark,body,pteridine,N/A,new individual,Exp,Size matched,Length,mature,males,field,year round,No,Direct,seconds,40,mean,NA,NA,NA,,NA,20,27.528,NA,3.964,17.72754693,20,17.913,NA,3.776,16.88678537,-0.078905142,0.161715636,-0.079069511,0.164398987,6.08276253
136,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 1,Serinus serinus,Portugal,vertebrate,less yellow,,more yellow,head,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,9.977,1,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369833562,0.182211113,0.388230276,0.2,5
137,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 2,Serinus serinus,Portugal,vertebrate,less yellow,,more yellow,chest,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.82,1,17,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046015713,0.195908392,0.046048233,0.2,5
138,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 3,Serinus serinus,Portugal,vertebrate,less yellow,,more yellow,throat,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.793,1,17,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044568089,0.195921264,0.044597633,0.2,5
139,"Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,Leitao et al. 2015 - 4,Serinus serinus,Portugal,vertebrate,less yellow,,more yellow,belly,carotenoid,N/A,new individuals,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,Plastic,Indirect,score (attacks + displays),28,F,0.001,1,17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88E-05,0.196116135,5.88E-05,0.2,5
140,"Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,Mafli et al 2011,Testudo hermanni,Local Suppliers,vertebrate,light,,dark,shell,melanocortin,pheomelanin,isolated,Exp,NS,Length,mature,males,captivity,year round,Plastic,Indirect,index,23,r,NA,NA,NA,0.0001,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.157948153,0.847955755,0.223606798,4.472135955
141,"Bruinje, AC; Coelho, FEA; Paiva, TMA; Costa, GC",2019,Bruinje et al 2019,Tropidurus semitaeniatus,Brazil,vertebrate,yellow,,black,chest,melanocortin,eumelanin,new individuals,Exp,Size matched,Length,mature,males,lab,breeding,No,Direct,head bouts,267,X2,5.69,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145982401,0.060771429,0.14703287,0.061545745,16.24807681
142,"Brown, DM; Lattanzio, MS",2018,Brown and Lattanzio 2018,Urosaurus graciosus,USA,vertebrate,yellow,,orange,throat,carotenoid,N/A,new individuals,Exp,"NS (t29 = 0.86, p = 0.4)",Length,mature,males,captivity,year round,No,Direct,winner,20,X2,5.4,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519615242,0.2013841,0.575812545,0.242535625,4.123105626
143,"McElroy, EJ; Marien, C; Meyers, JJ; Irschick, DJ",2007,McElroy et al 2007,Urosaurus ornatus,USA,vertebrate,orange,yellow,blue,ventral,structural,N/A,uncontrolled,Obs,uncontrolled,None measured,mature,males,field,year round,No,Direct,number of pushups per display,43,F,10.84,1,32,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253034547,0.151091437,0.258652295,0.158113883,6.32455532
144,"Taylor, JN; Lattanzio, MS",2016,Taylor and Lattanzio 2016,Urosaurus ornatus,USA,vertebrate,yellow,,blue,throat,structural,N/A,isolated,Exp,"Covariate (t = 0.4, df = 73.3, p = 0.69)",Weight over length,mature,males,captivity,year round,No,Indirect,score,76,mean,NA,NA,NA,,NA,41,3.6,NA,0.4,2.561249695,35,4.1,NA,0.5,2.958039892,0.01942553,0.116225704,0.019427974,0.117041147,8.544003745
145,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 1,Zonotrichia albicollis,Canada,vertebrate,white,,tan,head,melanocortin,pheomelanin,speaker only,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,full songs,41,t,1.09,40,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212863186,0.156458339,0.216168518,0.162221421,6.164414003
146,"Collins, CE; Houtman, AM",1999,Collins and Houtman 1999 - 2,Zonotrichia albicollis,Canada,vertebrate,white,,tan,head,melanocortin,pheomelanin,speaker only,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,pinked,41,t,0.28,40,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055432285,0.159881949,0.055489166,0.162221421,6.164414003
147,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 1,Zonotrichia albicollis,USA,vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,vocal aggression score,31,mean,NA,NA,NA,,NA,14,-0.67,NA,0.36,1.346996659,17,0.11,NA,0.01,0.041231056,0.103491722,0.184698213,0.103863598,0.188982237,5.291502622
148,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 2,Zonotrichia albicollis,USA,vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.01,NA,0.31,1.15991379,17,0.01,NA,0.36,1.484318025,0,0.185695338,0,0.188982237,5.291502622
149,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 3,Zonotrichia albicollis,USA,vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,females,captivity,year round,No,Indirect,vocal aggression score,31,mean,NA,NA,NA,,NA,14,0.2,NA,0.33,1.234746938,17,-0.01,NA,0.31,1.278162744,-0.029821232,0.18561275,-0.029830077,0.188982237,5.291502622
150,"Horton, BM; Hauber, ME; Maney, DL",2012,Horton et al 2012 - 4,Zonotrichia albicollis,USA,vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,females,captivity,year round,No,Indirect,physical aggression score,31,mean,NA,NA,NA,,NA,14,0.84,NA,0.34,1.272163512,17,-0.01,NA,0.59,2.432632319,-0.111048348,0.184546813,-0.111508228,0.188982237,5.291502622
151,"Horton, BM; Moore, IT; Maney, DL",2014,Horton et al 2014,Zonotrichia albicollis,USA,vertebrate,white,,tan,throat,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,captivity,year round,No,Indirect,territorial,30,t,4.2,29,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77077915,0.120401042,1.022244488,0.19245009,5.196152423
152,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 1,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,songs per 10 min,19,mean,NA,NA,NA,,NA,10,23.516,NA,NA,19.68296296,9,1.733,NA,NA,7.089382716,-0.238964623,0.235508949,-0.243675742,0.25,4
153,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 2,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,trills per 10 min,19,mean,NA,NA,NA,,NA,10,0,NA,NA,0.24691358,9,0,NA,NA,0.49382716,0,0.242535625,0,0.25,4
154,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 3,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,chips per 10 min,19,mean,NA,NA,NA,,NA,10,20.846,NA,NA,41.38765432,9,16.172,NA,NA,19.32790123,-0.024778416,0.242461159,-0.024783489,0.25,4
155,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 4,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,flights per 10 min,19,mean,NA,NA,NA,,NA,10,7.565,NA,NA,9.093333333,9,11.342,NA,NA,11.44197531,0.087879319,0.241597286,0.088106597,0.25,4
156,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 5,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,time in 5 m (min),19,mean,NA,NA,NA,,NA,10,10.154,NA,NA,0.303703704,9,10.155,NA,NA,0.835555556,0.000615098,0.242535579,0.000615099,0.25,4
157,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 6,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,time in 2 m (min),19,mean,NA,NA,NA,,NA,10,7.168,NA,NA,4.40691358,9,6.047,NA,NA,4.021728395,-0.054903654,0.242169798,-0.054958921,0.25,4
158,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 7,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,latency (min),19,mean,NA,NA,NA,,NA,10,0.782,NA,NA,0.650864198,9,0.977,NA,NA,1.08345679,0.06172176,0.242073205,0.061800318,0.25,4
159,"Zinzow-Kramer, WM; Horton, BM; McKee, CD; Michaud, JM; Tharp, GK; Thomas, JW; Tuttle, EM; Yi, S; Maney, DL",2015,Zinzow-Kramer et al 2015 - 8,Zonotrichia albicollis,USA,vertebrate,white,,tan,head,melanocortin,pheomelanin,new individuals and speaker,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,closest approach (m),19,mean,NA,NA,NA,,NA,10,0.247,NA,NA,0.212839506,9,0.354,NA,NA,0.630617284,0.091610015,0.241515753,0.091867589,0.25,4
