"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","Fisher_Z","SE","Weight"
"52","Yong, LX; Lee, B; Mckinnon, JS",2018,"Yong et al 2018 - 2","Gasterosteus aculeatus","vertebrate","less red","","more red","spine","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",43,"F",0.039,1,38,"0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00102526354530876,0,0,0
"53","Hasegawa, M; Ligon, RA; Giraudeau, M; Watanabe, M; McGraw, KJ",2014,"Hasegawa et al 2014","Haemorhous mexicanus","vertebrate","drab","","colorful","body","carotenoid","N/A","mature","males","captivity","breeding","No","score",4,"t",-0.98,3,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492443659213156,0,0,0
"54","McGraw, KJ; Medina-Jerez, W; Adams, H",2007,"McGraw et al 2007","Haemorhous mexicanus","vertebrate","light red","","bright red","ventral","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","encounters won",16,"t",-1.72,15,NA,"0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405877172801431,0,0,0
"55","Dijkstra, PD; Seehausen, O; Groothuis, TGG",2008,"Dijkstra et al 2008","Haplochromis paludinosus","vertebrate","yellow/ brown","","blue","body","melanocortin","eumelanin","mature","both","lab","breeding","No","attack",46,"t",-2.84,45,NA,"<.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389862802642828,0,0,0
"56","Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,"Dijkstra et al 2009","Haplochromis paludinosus","vertebrate","red","","blue","body","carotenoid","N/A","mature","males","field","year round","No","attacks",24,"F",3.005,1,17,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150212446888278,0,0,0
"57","Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,"Dijkstra et al 2009","Haplochromis paludinosus","vertebrate","plain","orange blotched","black/white blothced","body","melanocortin","eumelanin","mature","females","lab","year round","No","dominance",12,"t",-2.67,11,NA,"0.008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627083732510307,0,0,0
"58","Baird, TA; Baird, TD; Shine, R",2013,"Baird et al 2013","Intellagama lesueurii","vertebrate","drab red","","bright red","ventral","carotenoid","N/A","mature","males","field","breeding","No","latency seconds",38,"X2",2.95,37,NA,"0.086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278624440685609,0,0,0
"59","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 1","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","scratching time",238,"F",0.16,1,233,"0.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000686224052153028,0,0,0
"60","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 2","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","bite attempts",238,"X2",3.95,2,NA,"0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128827942060184,0,0,0
"61","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 3","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","flee attempts",231,"X2",16.18,1,NA,"0.0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264656928953863,0,0,0
"62","Morimoto, G; Yamaguchi, N; Ueda, K",2006,"Morimoto et al 2006","Luscinia cyanura","vertebrate","olive-brown","","blue","body","unknown","N/A","both","males","field","year round","Plastic","fighting, chasing, threatening",74,"F",9.411,2,14,"0.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573456827737493,0,0,0
"63","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 1","Malurus amabilis","vertebrate","less blue","","more blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score (attacks + displays)",64,"t",-2.76,35.6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419835114161725,0,0,0
"64","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 2","Malurus amabilis","vertebrate","grey","","blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",0.34,59.91,NA,"0.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0438844502393684,0,0,0
"65","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 3","Malurus amabilis","vertebrate","blender","","blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",-2.47,59.62,NA,"0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30468088063284,0,0,0
"66","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 4","Malurus amabilis","vertebrate","blender","","grey","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",-2.29,60,NA,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283507700829598,0,0,0
"67","Barron, DG; Webster, MS; Schwabl, H",2015,"Barron et al 2015","Malurus melanocephalus","vertebrate","brown","","black","body","melanocortin","eumelanin","mature","males","field","breeding","No","territorality",48,"F",4.03,1,44,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0839058921507391,0,0,0
"68","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 1","Manacus candei","vertebrate","white","","golden","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","attack",34,"mean",NA,NA,NA,"",NA,17,5.9,NA,NA,16.6,17,23.5,NA,NA,31.2,-0.332148791378521,0,0,0
"69","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 2","Manacus vitellinus","vertebrate","white","lemon","","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","attack",34,"mean",NA,NA,NA,"",NA,17,5.9,NA,NA,16.6,17,26.5,NA,NA,35.9,-0.345591860324415,0,0,0
"70","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 3","Manacus vitellinus","vertebrate","","lemon","golden","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","calls",34,"mean",NA,NA,NA,"",NA,17,383.1,NA,NA,151.5,17,195.9,NA,NA,80.2,0.61118920469466,0,0,0
"71","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 4","Manacus vitellinus","vertebrate","white","lemon","","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","calls",34,"mean",NA,NA,NA,"",NA,17,199.8,NA,NA,111.2,17,383.1,NA,NA,151.5,-0.567750075141152,0,0,0
"72","Beck, ML; Davies, S; Sewall, KB",2018,"Beck et al 2015","Melospiza melodia","vertebrate","light brown","","dark brown","body","melanocortin","eumelanin","mature","males","field","breeding","No","score",67,"F",4.877,1,65,"0.035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0697940667172317,0,0,0
"73","Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,"Hooper et al 2006","Mnais costalis","invertebrate","clear","","orange","wings","carotenoid","N/A","mature","males","field","year round","Plastic","time",56,"F",5.75,2,55,"0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172932330827068,0,0,0
"74","Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,"Carola et al 2014","Mus musculus","vertebrate","agouti","","non-agouti","body","melanocortin ","pheomelanin","mature","both","domestic","year round","No","number of attacks",20,"F",5.4,1,18,"0.032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769230769231,0,0,0
"75","Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,"Franklin et al 2019","Neogonodactylus oerstedii","invertebrate","light meral spots","","dark meral spots","legs","unknown","N/A","mature","both","lab","year round","No","strike",18,"X2",5.44,1,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549747416749021,0,0,0
"76","Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,"Balzarini et al 2017","Neolamprologus pulcher","vertebrate","no stripes","light stripes","dark stripes","body","melanocortin","eumelanin","mature","both","captivity","year round","No","score",30,"X2",6.84,2,NA,"0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477493455452533,0,0,0
"77","Crothers, LR; Cummings, ME",2015,"Crothers and Cummings 2015","Oophaga pumilio","vertebrate","light red","","bright red","body","carotenoid","N/A","mature","males","field","year round","No","call latency (sec)",21,"X2",4.26,1,NA,"0.039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450396650583841,0,0,0
"78","Crothers, L; Gering, E; Cummings, M",2011,"Crothers et al 2011","Oophaga pumilio","vertebrate","dull","","bright","dorsal","carotenoid","N/A","mature","males","captivity","year round","Plastic","approach",75,"F",5.9355,1,74,"0.018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0742536169786891,0,0,0
